Id,Label,hh_size,modularity_class,hh_id,gender,role,age,degree,freq_home,freq_work,freq_school,freq_kindergarden,freq_transport,freq_leisure,freq_grandparents,freq_other,freq_betweenhh,prop_home,prop_work,prop_school,prop_kindergarden,prop_transport,prop_leisure,prop_grandparents,prop_other,diversityloc,diversityhhmember,pers_touch,tot_dur,avg_dur
987,4.0508E+11,3,12,4050797,1,father,30,3,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0.888889,2,11,3.666667
988,4.0508E+11,3,10,4050797,0,child,1,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,7,3.5
989,4057951,3,16,4057951,0,mother,38,8,3,5,0,0,0,0,0,0,2,0.375,0.625,0,0,0,0,0,0,0.535714,0.75,4,32,4
990,4.05795E+11,3,16,4057951,1,father,35,9,6,0,0,0,0,0,0,3,2,0.666667,0,0,0,0,0,0,0.333333,0.507937,0.691358,6,28,3.111111
991,4.05795E+11,3,4,4057951,1,child,1,18,6,0,0,12,0,0,0,0,2,0.333333,0,0,0.666667,0,0,0,0,0.507937,0.395062,15,71,3.944444
992,4172139,3,12,4172139,1,father,40,11,3,0,0,0,1,3,0,4,2,0.272727,0,0,0,0.090909,0.272727,0,0.363636,0.812279,0.595041,2,25,2.272727
993,4.17214E+11,3,14,4172139,0,child,10,5,3,0,0,0,2,0,0,0,2,0.6,0,0,0,0.4,0,0,0,0.548571,0.96,1,14,2.8
994,4.17214E+11,3,7,4172139,1,child,8,9,2,0,0,0,1,0,0,6,2,0.222222,0,0,0,0.111111,0,0,0.666667,0.564374,0.691358,1,36,4
995,4245014,3,12,4245014,0,mother,48,4,2,0,0,0,0,0,0,2,2,0.5,0,0,0,0,0,0,0.5,0.571429,1,4,17,4.25
996,4.24501E+11,3,12,4245014,1,father,37,7,2,0,0,0,0,0,0,5,2,0.285714,0,0,0,0,0,0,0.714286,0.466472,0.816327,7,25,3.571429
997,4.24501E+11,3,14,4245014,0,child,12,7,2,0,0,0,0,0,6,0,2,0.285714,0,0,0,0,0,0.857143,0,0.428571,0.816327,7,27,3.857143
998,4334509,3,12,4334509,0,mother,47,7,3,2,0,0,0,0,0,2,2,0.428571,0.285714,0,0,0,0,0,0.285714,0.746356,0.816327,3,22,3.142857
999,4.33451E+11,3,2,4334509,1,father,37,16,3,12,0,0,1,0,0,0,2,0.1875,0.75,0,0,0.0625,0,0,0,0.455357,0.4375,2,63,3.9375
1000,4.33451E+11,3,13,4334509,1,child,8,15,2,0,11,0,2,0,0,0,1,0.133333,0,0.733333,0,0.133333,0,0,0,0.487619,0.248889,3,70,4.666667
1001,4371799,3,2,4371799,0,mother,41,16,2,12,2,0,0,0,0,0,2,0.125,0.75,0.125,0,0,0,0,0,0.464286,0.4375,2,37,2.3125
1002,4.3718E+11,3,2,4371799,1,father,34,25,2,22,0,0,1,0,0,0,2,0.08,0.88,0,0,0.04,0,0,0,0.248686,0.2944,4,52,2.08
1003,4.3718E+11,3,15,4371799,0,child,8,19,2,0,12,6,3,0,0,0,2,0.105263,0,0.631579,0.315789,0.157895,0,0,0,0.725898,0.376731,5,46,2.421053
1004,4372152,3,2,4372152,0,mother,36,19,2,17,0,0,0,0,0,0,2,0.105263,0.894737,0,0,0,0,0,0,0.215275,0.376731,9,39,2.052632
1005,4.37215E+11,3,2,4372152,1,father,32,14,2,9,0,0,1,0,0,3,2,0.142857,0.642857,0,0,0.071429,0,0,0.214286,0.660317,0.489796,4,33,2.357143
1006,4.37215E+11,3,4,4372152,1,child,1,9,2,0,0,7,0,0,0,0,2,0.222222,0,0,0.777778,0,0,0,0,0.395062,0.691358,8,39,4.333333
1007,441492,4,9,441492,0,mother,47,21,3,0,0,0,0,1,0,17,3,0.142857,0,0,0,0,0.047619,0,0.809524,0.367995,0.489796,5,62,2.952381
