Id,Label,timeset,size,density,avgdistance,diameter,youngestchild,oldestchild,agechildren_med,hh_size,children,modularity_class
191,20070116,,45,0.048485,2.547475,2.7,12,12,12,3,1,2
192,20070176,,33,0.068182,2.452652,2.9,6,6,6,3,1,0
193,20070554,,135,0.016584,2.706136,3,5,12,7,5,3,2
194,20071114,,22,0.12987,2.411255,2.8,3,5,4,4,2,2
195,20071116,,44,0.057082,2.729387,3.7,2,9,6,5,3,1
196,20071118,,55,0.042424,2.613468,3,5,7,6,4,2,0
197,20071795,,33,0.090909,2.515152,2.7,8,12,11,5,3,0
198,20072184,,17,0.147059,2.345588,2.6,3,3,3,3,1,2
199,20072737,,47,0.050879,2.334875,2.1,12,18,15,4,2,2
200,20073017,,51,0.042353,2.542745,2.8,5,5,5,3,1,0
201,20073743,,66,0.03683,2.651748,3,4,12,10,5,3,1
202,20073754,,36,0.095238,2.52381,2.9,5,11,8,6,4,2
203,20073772,,8,0.392857,1.964286,2.9,4,4,4,3,1,0
204,20073820,,31,0.083871,2.419355,3,9,12,10.5,4,2,2
205,20084150,,135,0.016031,3.097291,3.9,10,21,18,6,4,0
206,20085821,,42,0.058072,2.437863,3,11,13,12,4,2,3
207,20086455,,59,0.042665,2.584454,2.7,6,10,8,5,3,0
208,20086527,,32,0.070565,2.483871,2.9,1,1,1,3,1,2
209,20086954,,65,0.042788,2.533654,2.6,1,13,6,6,4,2
210,20087099,,79,0.029536,2.565725,2.4,12,18,13,5,3,0
211,20087242,,32,0.070565,2.487903,2.8,4,4,4,3,1,1
212,20087888,,4,2,1,1,0,10,5,4,2,1
213,20088801,,53,0.044267,2.597968,2.9,11,13,12,4,2,1
214,20089263,,48,0.049645,2.578901,2.8,2,5,3.5,4,2,1
215,20089496,,56,0.041558,2.596753,2.8,4,6,5,4,2,2
216,20089676,,87,0.027265,2.685646,2.9,3,5,3,5,3,3
217,20089990,,139,0.016057,2.62715,3,9,13,13,5,3,3
218,20090121,,127,0.016873,2.677915,2.9,3,8,5.5,4,2,2
219,20090144,,102,0.022714,2.65696,2.9,6,13,11,5,3,3
220,20091402,,43,0.050941,2.40753,2,9,9,9,3,1,3
221,20091635,,138,0.016185,2.696393,2.9,2,7,5,5,3,1
222,20092411,,11,0.345455,2.036364,2.6,9,13,11,4,2,3
223,20092458,,36,0.080952,2.528571,2.8,12,17,14,5,3,2
224,20092624,,33,0.077652,2.388258,3,5,7,6,4,2,2
225,20092717,,24,0.094203,2.865942,3.9,4,7,5.5,4,2,2
226,20093812,,60,0.035593,2.502825,2.8,10,10,10,3,1,3
227,2038522,,6,0.933333,1.466667,1.6,3,6,4.5,4,2,0
228,2070031,,45,0.048485,2.456566,3,8,12,10,3,2,2
