Id,Label,timeset,touch,frequency,duration,loc_home,loc_work,loc_school,loc_kindergarden,loc_transport,loc_leisure,loc_grandparents,loc_other,loc_missing,betweenhhmembers,weight,person1,person2,household,sourcerole,targetrole,relation,modularity_class
396,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,2005854300001,2005854300004,20058543,mother,child,M-C,1
397,,,1,1,4,1,0,0,0,0,0,0,0,0,1,0.9,20085821,2008582100002,20085821,father,child,F-C,1
398,,,1,1,5,1,0,0,0,1,0,0,1,0,1,1,2007375400005,2007375400002,20073754,child,child,siblings,1
399,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,12053700002,12053700003,120537,child,child,siblings,1
400,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,1000276000002,1000276000003,10002760,child,child,siblings,1
401,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,2007004400003,2007004400001,20070044,child,father,F-C,1
402,,,1,1,5,1,0,0,0,0,0,0,1,0,1,1,2005626500002,2005626500001,20056265,child,father,F-C,1
403,,,1,1,5,1,0,0,0,0,0,1,0,0,1,1,2003451400003,2003451400002,20034514,child,child,siblings,1
404,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,632399100004,632399100003,6323991,child,child,siblings,1
405,,,1,1,5,0,0,0,0,1,0,0,0,0,1,1,20062567,2006256700001,20062567,mother,father,M-F,0
406,,,1,1,5,1,0,0,0,0,1,0,1,0,1,1,2005691400001,2005691400002,20056914,father,child,F-C,1
407,,,1,1,5,1,0,0,0,1,0,1,0,0,1,1,72687100002,726871,726871,child,father,F-C,1
408,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,2003587700002,2003587700001,20035877,child,father,F-C,1
409,,,1,0,0,1,0,0,0,0,0,0,0,0,1,0,31875200001,318752,318752,father,mother,M-F,1
410,,,1,1,5,1,0,0,0,1,0,0,1,0,1,1,2007375400005,2007375400004,20073754,child,child,siblings,1
411,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,2005797600001,20057976,20057976,mother,father,M-F,1
412,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,2439480,243948000002,2439480,father,child,F-C,1
413,,,1,5,1,1,0,0,0,0,0,0,0,0,1,0.6,2003596600002,2003596600001,20035966,child,father,F-C,0
414,,,0,1,5,1,0,0,0,0,0,0,0,0,1,0.5,2005793300004,2005793300003,20057933,child,child,siblings,0
415,,,1,1,5,1,0,0,0,1,0,0,0,0,1,1,20090121,2009012100002,20090121,father,child,F-C,1
416,,,0,1,5,1,0,0,0,0,0,0,0,0,1,0.5,2003742300003,20037423,20037423,child,mother,M-C,0
417,,,1,1,4,1,0,1,0,1,0,0,0,0,1,0.9,2003378300002,2003378300001,20033783,child,mother,M-C,1
418,,,1,1,4,1,0,0,0,0,0,0,0,0,1,0.9,2008582100002,20085821,20085821,child,father,F-C,1
419,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,1454172,145417200001,1454172,father,mother,M-F,1
420,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,632399100001,632399100003,6323991,father,child,F-C,1
421,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,489733800004,4897338,4897338,child,father,F-C,1
422,,,1,1,5,1,0,0,0,1,0,0,1,0,1,1,2006841000002,2006841000003,20068410,child,child,siblings,1
423,,,1,1,5,1,0,0,0,1,1,0,0,0,1,1,2007179500001,2007179500002,20071795,mother,child,M-C,1
424,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,20034297,2003429700001,20034297,mother,father,M-F,1
425,,,1,1,4,1,0,0,0,0,0,0,0,0,1,0.9,20033614,2003361400002,20033614,father,child,F-C,1
426,,,0,1,2,1,0,0,0,0,0,0,0,0,1,0.2,2006311600001,2006311600003,20063116,mother,child,M-C,1
427,,,1,1,5,1,0,0,0,1,0,1,0,0,1,1,72687100003,726871,726871,child,father,F-C,1
428,,,1,1,5,1,0,0,0,1,0,0,1,0,1,1,2005646600002,20056466,20056466,child,father,F-C,1
429,,,1,1,5,1,0,0,0,1,0,0,0,0,1,1,54339800001,543398,543398,child,mother,M-C,1
430,,,1,1,4,1,0,0,0,0,0,0,0,0,1,0.9,2005619700001,20056197,20056197,father,mother,M-F,1
431,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,20087099,2008709900001,20087099,father,mother,M-F,1
432,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,2006376900003,20063769,20063769,child,father,F-C,1
433,,,1,1,4,1,0,0,0,0,0,0,0,0,1,0.9,2003348800001,2003348800002,20033488,mother,child,M-C,1
434,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,534780500003,5347805,5347805,child,father,F-C,1
435,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,93279200002,93279200001,932792,child,father,F-C,1
436,,,1,1,4,1,0,0,0,0,0,0,0,0,1,0.9,2005706200003,2005706200001,20057062,child,father,F-C,1
437,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,20056001,2005600100002,20056001,mother,child,M-C,1
438,,,1,1,4,1,0,0,0,0,0,0,0,0,1,0.9,2003755900001,20037559,20037559,father,mother,M-F,1
439,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,20057839,2005783900001,20057839,mother,father,M-F,1
440,,,0,1,4,1,0,0,0,0,0,0,0,0,1,0.4,2005751600002,2005751600003,20057516,child,child,siblings,1
441,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,175921100002,1759211,1759211,child,father,F-C,1
442,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,2005854300003,2005854300004,20058543,child,child,siblings,1
443,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,3018545600002,3018545600001,30185456,child,mother,M-C,1
444,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,2006212000001,2006212000002,20062120,father,child,F-C,1
445,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,20033783,2003378300002,20033783,father,child,F-C,1
446,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,935264200003,935264200002,9352642,child,child,siblings,1
447,,,1,1,4,1,0,0,0,0,0,0,0,0,1,0.9,2006341300004,2006341300002,20063413,child,child,siblings,1
448,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,2007374300002,2007374300004,20073743,child,child,siblings,1
449,,,1,1,4,1,0,0,0,1,0,0,0,0,1,0.9,2006109700004,2006109700001,20061097,child,mother,M-C,1
450,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,8210421,821042100001,8210421,father,mother,M-F,1
451,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,2005928200001,2005928200003,20059282,father,child,F-C,1
452,,,1,0,0,1,0,0,0,1,0,0,0,0,1,0,2003783800002,20037838,20037838,child,father,F-C,1
453,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,30185480,3018548000003,30185480,father,child,F-C,1
454,,,1,1,5,0,0,0,0,0,0,0,1,0,1,1,2003637200002,2003637200001,20036372,child,father,F-C,0
455,,,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2005830500003,20058305,20058305,child,mother,M-C,1
456,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,2005750500001,2005750500003,20057505,father,child,F-C,1
457,,,1,1,5,0,1,0,0,0,0,0,0,0,1,1,2005987400001,20059874,20059874,mother,father,M-F,0
458,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,758393500003,758393500004,7583935,child,child,siblings,1
459,,,0,1,5,1,0,0,0,0,0,0,0,0,1,0.5,27279100003,27279100004,272791,child,child,siblings,0
460,,,1,1,5,1,0,0,0,1,0,0,0,0,1,1,654020900002,654020900003,6540209,child,child,siblings,1
461,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,2006023500002,2006023500001,20060235,child,mother,M-C,1
462,,,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2005830500001,20058305,20058305,father,mother,M-F,1
463,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,2009140200001,20091402,20091402,mother,father,M-F,1
464,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,2008724200002,2008724200001,20087242,child,mother,M-C,1
465,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,93279200001,93279200003,932792,father,child,F-C,1
466,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,368626100002,368626100001,3686261,child,mother,M-C,1
467,,,1,1,5,1,0,0,0,1,0,1,0,0,1,1,72687100002,72687100001,726871,child,mother,M-C,1
468,,,1,1,4,1,0,0,0,0,0,0,0,0,1,0.9,2006341300002,2006341300004,20063413,child,child,siblings,1
469,,,1,1,4,1,0,0,0,0,0,0,0,0,1,0.9,2008695400001,20086954,20086954,mother,father,M-F,1
470,,,1,5,1,1,0,0,0,0,0,0,0,0,1,0.6,142164600002,142164600003,1421646,child,child,siblings,0
471,,,1,1,5,1,0,0,0,1,0,0,1,0,1,1,2006674700001,2006674700002,20066747,mother,child,M-C,1
472,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,2007374300004,20073743,20073743,child,father,F-C,1
473,,,1,1,5,0,0,0,0,0,0,0,0,1,1,1,2006202700002,2006202700003,20062027,child,child,siblings,0
474,,,0,1,5,1,0,0,0,0,0,0,0,0,1,0.5,13580700003,135807,135807,child,father,F-C,0
475,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,2003634000002,2003634000004,20036340,child,child,siblings,1
476,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,2008999000003,2008999000001,20089990,child,child,siblings,1
477,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,826955400002,8269554,8269554,child,father,F-C,1
478,,,1,1,5,1,0,0,0,1,0,0,1,0,1,1,2003346700003,20033467,20033467,child,father,F-C,1
