Id,Label,timeset,person1,person2,touch,frequency,duration,loc_home,loc_work,loc_school,loc_kindergarden,loc_transport,loc_leisure,loc_grandparents,loc_other,loc_missing,betweenhhmembers,household,weight,modularity_class
89,,,2005979200001,3018574911838,1,5,1,0,0,0,0,0,1,0,0,0,0,20059792,0.6,2
90,,,167620700002,3018574905779,1,3,4,0,0,0,0,0,0,0,1,0,0,1676207,0.9,14
91,,,304229000002,304229000001,1,1,5,1,0,0,0,1,0,0,0,0,1,3042290,1,6
92,,,2003448600003,3018574908977,0,0,1,0,0,1,0,0,0,0,0,0,0,20034486,0.1,8
93,,,2005810900002,3018574911089,1,2,5,0,0,0,0,0,0,0,1,0,0,20058109,1,14
94,,,48251300003,3018574905173,1,1,5,0,0,1,0,0,0,0,0,0,0,482513,1,3
95,,,66235000002,3018574905243,1,1,4,0,0,1,0,0,0,0,0,0,0,662350,0.9,12
96,,,2006376900003,3018574913172,1,3,4,1,0,0,0,0,0,0,0,0,0,20063769,0.9,14
97,,,5928624,3018574900850,1,2,1,0,0,0,0,1,0,0,0,0,0,5928624,0.6,6
98,,,2003361400001,20033614,1,1,5,1,0,0,0,0,1,0,0,0,1,20033614,1,2
99,,,293473,3018574900201,0,1,5,0,1,0,0,0,0,0,0,0,0,293473,0.5,11
100,,,974963800002,3018574907814,0,1,4,0,0,0,0,0,0,0,1,0,0,9749638,0.4,1
101,,,7336623,3018574900922,0,1,5,0,1,0,0,0,0,0,0,0,0,7336623,0.5,11
102,,,1342700003,3018574904072,1,0,4,0,0,1,0,0,0,0,0,0,0,13427,0.9,12
103,,,990436300001,3018574907911,0,3,3,0,0,0,0,0,0,0,1,0,0,9904363,0.3,1
104,,,2006493800002,3018574913426,0,2,2,0,0,0,0,0,0,0,1,0,0,20064938,0.2,1
105,,,2005698500002,20056985,1,1,4,1,0,0,0,0,0,0,0,0,1,20056985,0.9,0
106,,,12053700001,3018574904182,1,2,2,0,1,0,0,0,0,0,0,0,0,120537,0.7,11
107,,,2005750500002,3018574910757,0,3,1,0,0,0,0,0,1,0,0,0,0,20057505,0,2
108,,,2005691400001,20056914,1,1,5,1,0,0,0,0,1,0,1,0,1,20056914,1,2
109,,,2005783900002,3018574910953,0,5,1,0,0,0,0,0,0,0,1,0,0,20057839,0.1,5
110,,,2006367100003,3018574913073,0,2,4,0,0,0,0,0,0,0,1,0,0,20063671,0.4,1
111,,,304229000001,3018574906264,1,1,4,1,0,1,0,1,0,0,0,0,0,3042290,0.9,6
112,,,25523000002,3018574904618,1,1,2,0,0,0,0,0,0,0,1,0,0,255230,0.7,14
113,,,2008967600004,3018574915037,1,2,3,0,0,0,0,0,0,1,0,0,0,20089676,0.8,6
114,,,2005979200001,20059792,1,1,5,1,0,0,0,1,1,0,1,0,1,20059792,1,6
115,,,20063671,3018574903038,0,5,1,0,0,0,0,0,0,0,1,0,0,20063671,0.1,5
116,,,2005854300004,20058543,1,1,5,1,0,0,0,0,0,0,0,0,1,20058543,1,10
117,,,5956252,3018574900852,0,1,1,1,0,0,0,0,0,0,0,0,0,5956252,0.1,1
118,,,20056422,2005642200001,1,1,5,1,0,0,0,0,0,0,0,0,1,20056422,1,10
119,,,160282300002,3018574905732,1,4,3,0,0,0,0,0,0,0,1,0,0,1602823,0.8,14
120,,,2003784400001,3018574909862,1,2,3,0,1,0,0,0,0,0,0,0,0,20037844,0.8,11
121,,,2005826800001,3018574911120,0,5,1,0,0,0,0,0,0,0,1,0,0,20058268,0.1,5
122,,,2003742300001,3018574909629,0,4,4,1,0,0,0,0,0,0,0,0,0,20037423,0.4,1
123,,,20060891,3018574902703,1,3,2,0,1,0,0,0,0,0,0,0,0,20060891,0.7,11
124,,,2009163500004,3018574915446,1,1,5,0,0,0,1,0,0,0,0,0,0,20091635,1,12
125,,,33980300001,3018574904982,0,2,4,0,0,0,0,0,0,0,1,0,0,339803,0.4,1
126,,,2005759000001,3018574910855,0,5,1,0,1,0,0,0,0,0,0,0,0,20057590,0.1,9
127,,,30185177,3018574903859,1,1,5,0,1,0,0,0,0,0,0,0,0,30185177,1,11
128,,,2006674700003,3018574913743,1,1,5,0,0,1,0,0,0,0,0,0,0,20066747,1,3
129,,,20037425,3018574901796,0,2,5,0,1,0,0,0,0,0,0,0,0,20037425,0.5,11
130,,,20063441,3018574903013,0,5,1,0,0,0,0,1,0,0,0,0,0,20063441,0.1,6
131,,,20035818,3018574901647,1,4,4,1,0,0,0,0,0,0,0,0,0,20035818,0.9,14
132,,,2005759000001,3018574910850,0,1,4,0,1,0,0,0,0,0,0,0,0,20057590,0.4,11
133,,,20089676,3018574903692,0,2,2,0,1,0,0,0,0,0,0,0,0,20089676,0.2,9
134,,,2005965100004,3018574911725,1,2,4,0,0,0,0,0,0,1,0,0,0,20059651,0.9,6
135,,,2005600900001,3018574909928,1,4,2,1,0,0,0,0,0,0,0,0,0,20056009,0.7,14
136,,,2003342600003,3018574908477,1,5,3,0,0,0,0,0,0,0,1,0,0,20033426,0.8,14
137,,,2006563600003,3018574913525,1,1,4,0,0,1,0,0,0,0,0,0,0,20065636,0.9,12
138,,,29347300002,3018574904898,1,1,5,0,0,1,0,0,0,0,0,0,0,293473,1,3
139,,,2008645500003,3018574914707,0,3,1,0,0,0,0,0,0,0,1,0,0,20086455,0.1,4
140,,,4897338,3018574900762,1,5,5,1,0,0,0,0,0,0,0,0,0,4897338,1,14
141,,,20056407,3018574901971,0,2,1,0,0,0,0,0,0,0,1,0,0,20056407,0.1,4
142,,,20066430,3018574903235,0,5,1,0,0,0,0,0,0,0,1,0,0,20066430,0.1,5
143,,,2008695400001,3018574914764,0,5,3,0,1,0,0,0,0,0,0,0,0,20086954,0.3,9
144,,,2003516900001,3018574909113,0,1,5,0,1,0,0,0,0,0,0,0,0,20035169,0.5,11
145,,,489733800003,3018574906559,1,0,0,0,0,0,0,0,0,0,0,1,0,4897338,0,13
146,,,2006652300002,3018574913729,0,2,4,1,0,0,0,0,0,0,0,0,0,20066523,0.4,1
147,,,2006493800003,3018574913451,1,3,4,0,0,0,0,0,0,0,1,0,0,20064938,0.9,14
148,,,2003784400003,3018574909892,1,2,2,0,0,0,0,0,0,1,0,0,0,20037844,0.7,6
149,,,2009012100002,3018574915162,1,1,4,0,0,1,1,0,0,0,0,0,0,20090121,0.9,12
150,,,6141979,3018574900878,0,3,5,0,1,0,0,0,0,0,0,0,0,6141979,0.5,11
151,,,976216700003,9762167,1,1,5,1,0,0,0,0,0,0,0,0,1,9762167,1,10
152,,,2003378300001,3018574908855,0,4,3,0,0,0,0,0,0,0,1,0,0,20033783,0.3,1
153,,,2003378300003,3018574908918,1,3,3,0,0,0,0,0,0,0,1,0,0,20033783,0.8,14
154,,,2007055400003,3018574914264,0,2,4,0,0,0,0,0,0,1,0,0,0,20070554,0.4,6
155,,,2005931700002,3018574911507,1,1,5,0,0,1,0,0,0,0,0,0,0,20059317,1,3
156,,,3018531200002,3018574915627,0,2,5,0,0,1,0,0,0,0,0,0,0,30185312,0.5,7
157,,,20058452,3018574902375,0,4,2,0,0,0,0,0,0,0,1,0,0,20058452,0.2,1
158,,,9749638,3018574901168,0,5,1,0,0,0,0,0,0,0,1,0,0,9749638,0.1,5
159,,,756602200002,756602200003,1,1,5,0,0,0,0,0,0,0,1,0,1,7566022,1,0
160,,,135807,13580700002,0,1,5,1,0,0,0,0,0,0,0,0,1,135807,0.5,0
161,,,2005750500001,3018574910744,0,4,1,0,0,0,0,0,0,0,1,0,0,20057505,0.1,4
162,,,11973000001,3018574904116,0,3,4,0,1,0,0,0,0,0,0,0,0,119730,0.4,9
163,,,821042100002,3018574907334,0,1,4,0,0,1,0,0,0,0,0,0,0,8210421,0.4,7
164,,,2484669,248466900001,1,1,5,1,0,0,0,0,0,0,0,0,1,2484669,1,10
165,,,2007055400001,3018574914194,0,3,3,0,0,0,0,0,0,0,1,0,0,20070554,0.3,1
166,,,821042100003,3018574907352,0,2,3,0,0,1,0,0,0,0,0,0,0,8210421,0.3,8
167,,,20062120,3018574902785,0,3,4,0,0,0,0,0,1,0,0,0,0,20062120,0.4,2
168,,,2005783900001,3018574910944,1,5,2,0,0,0,0,0,0,0,1,0,0,20057839,0.7,14
169,,,856990800001,856990800003,1,1,5,1,0,0,0,0,0,0,0,0,1,8569908,1,10
170,,,2007374300001,20073743,1,1,5,1,0,0,0,0,0,0,0,0,1,20073743,1,10
171,,,2005698500002,2005698500001,1,1,5,1,0,0,0,0,0,0,0,0,1,20056985,1,10
172,,,2009012100001,3018574915141,1,3,3,0,0,0,0,0,1,0,0,0,0,20090121,0.8,2
173,,,255230,3018574900151,0,0,1,0,0,1,0,0,0,0,0,0,0,255230,0.1,8
174,,,932792,3018574900462,1,4,1,0,0,0,0,0,1,0,0,0,0,932792,0.6,2
175,,,247079800003,3018574906148,0,1,2,0,0,1,0,0,0,0,0,0,0,2470798,0.2,8
176,,,2003349200003,20033492,1,1,5,1,0,0,0,1,0,0,1,0,1,20033492,1,6
177,,,2005931700002,3018574911522,1,1,3,0,0,1,0,0,0,0,0,0,0,20059317,0.8,8
178,,,20072737,3018574903503,0,2,5,0,1,0,0,0,0,0,0,0,0,20072737,0.5,11
179,,,293473,3018574900220,0,2,3,0,1,0,0,0,0,0,0,0,0,293473,0.3,9
180,,,2006341300002,3018574912926,0,2,1,0,0,1,0,0,0,0,0,0,0,20063413,0.1,8
181,,,2008999000003,3018574915118,1,4,5,0,0,0,1,0,0,0,0,0,0,20089990,1,12
182,,,44149200002,44149200001,1,1,5,1,0,0,0,0,0,0,0,0,1,441492,1,10
183,,,2006241200003,3018574912498,1,4,4,0,0,0,0,0,0,0,1,0,0,20062412,0.9,14
184,,,2006109700001,2006109700002,1,1,3,1,0,0,0,0,0,0,0,0,1,20061097,0.8,0
185,,,2006367300002,3018574913116,1,2,2,0,0,1,0,0,0,0,0,0,0,20063673,0.7,8
186,,,484500001,3018574904037,0,3,3,0,1,0,0,0,0,0,0,0,0,4845,0.3,9
187,,,20033325,2003332500001,1,1,5,1,0,0,0,0,1,0,0,0,1,20033325,1,2
188,,,2006408400001,3018574913260,1,1,5,0,0,1,0,0,0,0,0,0,0,20064084,1,3
189,,,20036340,3018574901726,1,4,4,1,0,0,0,0,0,0,0,0,0,20036340,0.9,14
190,,,2006367300001,3018574913095,0,2,1,0,0,0,0,1,0,0,0,0,0,20063673,0.1,6
191,,,2006493800002,3018574913424,1,1,5,0,0,1,0,0,0,0,0,0,0,20064938,1,3
192,,,20057108,3018574902140,1,1,5,0,1,0,0,0,0,0,0,0,0,20057108,1,11
193,,,2005643500004,2005643500001,1,1,5,1,0,0,0,0,0,0,0,0,1,20056435,1,10
194,,,20068410,2006841000003,1,1,5,1,0,0,0,0,1,0,0,0,1,20068410,1,2
195,,,810313900001,3018574907293,1,1,5,0,1,0,0,0,0,0,0,0,0,8103139,1,11
196,,,8269554,826955400001,1,1,5,1,0,0,0,0,0,0,0,0,1,8269554,1,10
197,,,20063210,3018574902940,0,3,2,0,0,0,0,0,0,0,1,0,0,20063210,0.2,1
198,,,44149200002,44149200003,1,1,5,1,0,0,0,0,0,0,0,0,1,441492,1,10
199,,,1602823,160282300002,1,1,5,1,0,0,0,0,0,0,0,0,1,1602823,1,10
200,,,2009012100001,2009012100003,1,1,4,1,0,0,0,1,0,0,0,0,1,20090121,0.9,6
201,,,2008695400003,2008695400002,1,1,5,1,0,0,0,0,0,0,1,0,1,20086954,1,0
202,,,20061236,3018574902736,0,2,5,0,0,0,0,0,1,0,0,0,0,20061236,0.5,2
203,,,93279200001,3018574905466,1,3,4,0,0,0,0,0,1,0,0,0,0,932792,0.9,2
204,,,20092458,2009245800001,1,1,4,1,0,0,0,0,0,0,0,0,1,20092458,0.9,0
205,,,2003332500003,3018574908307,0,4,4,0,0,0,0,0,1,0,0,0,0,20033325,0.4,2
206,,,3018531200003,3018531200001,1,1,5,1,0,0,0,0,0,0,0,0,1,30185312,1,10
207,,,2006592700003,3018574913609,1,2,5,1,0,0,0,0,0,0,0,0,0,20065927,1,14
208,,,2005854300001,3018574911243,0,2,2,0,0,0,0,0,0,0,1,0,0,20058543,0.2,1
209,,,20064938,3018574903169,0,1,1,0,0,0,0,0,0,0,1,0,0,20064938,0.1,4
210,,,2003553200003,3018574909322,0,3,5,0,0,0,1,0,0,0,0,0,0,20035532,0.5,12
211,,,944798900004,3018574907731,1,1,1,0,0,1,0,0,0,0,0,0,0,9447989,0.6,8
212,,,2007179500002,3018574914401,0,5,1,0,0,0,0,0,0,0,1,0,0,20071795,0.1,5
213,,,1676207,167620700001,1,1,5,0,0,0,0,0,1,0,0,0,1,1676207,1,2
214,,,20056265,2005626500002,1,1,5,1,0,0,0,0,0,0,1,0,1,20056265,1,0
215,,,5559980,3018574900820,0,1,1,0,0,0,0,0,1,0,0,0,0,5559980,0,2
216,,,20056001,2005600100004,1,1,5,1,0,0,0,0,0,0,0,0,1,20056001,1,10
217,,,2003332500004,3018574908325,1,3,4,0,0,0,0,0,0,0,1,0,0,20033325,0.9,14
218,,,2003538300001,3018574909170,0,5,1,0,0,0,0,0,1,0,0,0,0,20035383,0.1,2
219,,,2003363900001,3018574908824,1,3,2,0,0,0,0,0,0,0,1,0,0,20033639,0.7,14
220,,,89202800002,3018574905430,1,1,4,0,0,1,0,0,0,0,0,0,0,892028,0.9,12
221,,,293473,3018574900200,0,1,5,0,1,0,0,0,0,0,0,0,0,293473,0.5,11
222,,,20056001,3018574901860,1,3,5,0,1,0,0,0,0,0,0,0,0,20056001,1,11
